measurementTime,year,fl,measurementTime_2,date,month,hour,group,gf,gf1,date_corr,sd_all,mean_all,sd_mean_all,cv,cv100,fl_med_day,fl_med_3
6/10/2024 6:00,2024,7.42,2024-06-10T06:00:00Z,2024-06-10,6,6,2,0.10437375745526846,0.10437375745526846,2024-06-09,3.2314676317650393,5.083154574132492,0.7231529732486023,63.57209061100669,127.14418122201339,4.58,7.42
6/10/2024 20:00,2024,8.37,2024-06-10T20:00:00Z,2024-06-10,6,20,2,-0.25067024128686316,-0.25067024128686316,2024-06-10,3.2314676317650393,5.083154574132492,1.0171370412496505,63.57209061100669,127.14418122201339,6.15,NA
6/10/2024 21:00,2024,6.5,2024-06-10T21:00:00Z,2024-06-10,6,21,2,0.12305854241338117,0.12305854241338117,2024-06-10,3.2314676317650393,5.083154574132492,0.4384526126581134,63.57209061100669,127.14418122201339,6.15,NA
6/10/2024 22:00,2024,7.53,2024-06-10T22:00:00Z,2024-06-10,6,22,2,-0.21230769230769228,-0.21230769230769228,2024-06-10,3.2314676317650393,5.083154574132492,0.757193233753987,63.57209061100669,127.14418122201339,6.15,7.53
6/10/2024 23:00,2024,6.15,2024-06-10T23:00:00Z,2024-06-10,6,23,2,0.06772908366533861,0.06772908366533861,2024-06-10,3.2314676317650393,5.083154574132492,0.3301426928682536,63.57209061100669,127.14418122201339,6.15,6.5
6/11/2024 0:00,2024,6.66,2024-06-11T00:00:00Z,2024-06-11,6,0,2,0.47317073170731705,0.47317073170731705,2024-06-10,3.2314676317650393,5.083154574132492,0.4879657188477637,63.57209061100669,127.14418122201339,6.15,6.66
6/11/2024 1:00,2024,9.57,2024-06-11T01:00:00Z,2024-06-11,6,1,2,-0.6861861861861862,-0.6861861861861862,2024-06-10,3.2314676317650393,5.083154574132492,1.3884853376720276,63.57209061100669,127.14418122201339,6.15,6.66
6/11/2024 2:00,2024,5,2024-06-11T02:00:00Z,2024-06-11,6,2,2,0.007314524555903896,0.007314524555903896,2024-06-10,3.2314676317650393,5.083154574132492,-0.025732757869857677,63.57209061100669,127.14418122201339,6.15,6.66
6/11/2024 3:00,2024,5.07,2024-06-11T03:00:00Z,2024-06-11,6,3,2,0.18200000000000002,0.18200000000000002,2024-06-10,3.2314676317650393,5.083154574132492,-0.004070773911885605,63.57209061100669,127.14418122201339,6.15,5.07
6/11/2024 4:00,2024,5.98,2024-06-11T04:00:00Z,2024-06-11,6,4,2,-0.15384615384615388,-0.15384615384615388,2024-06-10,3.2314676317650393,5.083154574132492,0.27753501754175025,63.57209061100669,127.14418122201339,6.15,5.07
