measurementTime,year,fl,measurementTime_2,date,month,hour,gf,gf1,gf2,gf3,gf4,gf5,gf6,date_corr,sd_all,mean_all,sd_mean_all,cv,cv100,fl_med_day,fl_med_3
6/1/2022 20:00,2022,1.673,2022-06-01T20:00:00Z,2022-06-01,6,20,0.28622159090909094,0.28622159090909094,0.28622159090909094,0.28622159090909094,0.28622159090909094,0.28622159090909094,0.28622159090909094,2022-06-01,1.809820552307698,3.34219452887538,-0.922298360877267,54.15066468069072,108.30132936138143,1.344,NA
6/1/2022 21:00,2022,2.076,2022-06-01T21:00:00Z,2022-06-01,6,21,0.4787806335923489,0.4787806335923489,0.4787806335923489,0.4787806335923489,0.4787806335923489,0.4787806335923489,0.4787806335923489,2022-06-01,1.809820552307698,3.34219452887538,-0.6996243507461877,54.15066468069072,108.30132936138143,1.344,NA
6/1/2022 22:00,2022,2.877,2022-06-01T22:00:00Z,2022-06-01,6,22,-0.34393063583815026,-0.34393063583815026,-0.34393063583815026,-0.34393063583815026,-0.34393063583815026,-0.34393063583815026,-0.34393063583815026,2022-06-01,1.809820552307698,3.34219452887538,-0.25703903532436506,54.15066468069072,108.30132936138143,1.344,2.076
6/1/2022 23:00,2022,2.163,2022-06-01T23:00:00Z,2022-06-01,6,23,-0.25616962113312475,-0.25616962113312475,-0.25616962113312475,-0.25616962113312475,-0.25616962113312475,-0.25616962113312475,-0.25616962113312475,2022-06-01,1.809820552307698,3.34219452887538,-0.6515532865243419,54.15066468069072,108.30132936138143,1.344,2.163
6/2/2022 0:00,2022,1.426,2022-06-02T00:00:00Z,2022-06-02,6,0,-0.03791030975496988,-0.03791030975496988,-0.03791030975496988,-0.03791030975496988,-0.03791030975496988,-0.03791030975496988,-0.03791030975496988,2022-06-01,1.809820552307698,3.34219452887538,-1.0587759799898642,54.15066468069072,108.30132936138143,1.344,2.163
6/2/2022 1:00,2022,1.344,2022-06-02T01:00:00Z,2022-06-02,6,1,-0.19424964936886405,-0.19424964936886405,-0.19424964936886405,-0.19424964936886405,-0.19424964936886405,-0.19424964936886405,-0.19424964936886405,2022-06-01,1.809820552307698,3.34219452887538,-1.104084339371374,54.15066468069072,108.30132936138143,1.344,1.426
6/2/2022 2:00,2022,1.067,2022-06-02T02:00:00Z,2022-06-02,6,2,-0.08854166666666666,-0.08854166666666666,-0.08854166666666666,-0.08854166666666666,-0.08854166666666666,-0.08854166666666666,-0.08854166666666666,2022-06-01,1.809820552307698,3.34219452887538,-1.2571381875259868,54.15066468069072,108.30132936138143,1.344,1.344
6/2/2022 3:00,2022,0.948,2022-06-02T03:00:00Z,2022-06-02,6,3,-0.07497656982193061,-0.07497656982193061,-0.07497656982193061,-0.07497656982193061,-0.07497656982193061,-0.07497656982193061,-0.07497656982193061,2022-06-01,1.809820552307698,3.34219452887538,-1.322890562725983,54.15066468069072,108.30132936138143,1.344,1.067
6/2/2022 4:00,2022,0.868,2022-06-02T04:00:00Z,2022-06-02,6,4,0.15928270042194084,0.15928270042194084,0.15928270042194084,0.15928270042194084,0.15928270042194084,0.15928270042194084,0.15928270042194084,2022-06-01,1.809820552307698,3.34219452887538,-1.3670938401713586,54.15066468069072,108.30132936138143,1.344,0.948
6/2/2022 5:00,2022,1.019,2022-06-02T05:00:00Z,2022-06-02,6,5,0.30760368663594484,0.30760368663594484,0.30760368663594484,0.30760368663594484,0.30760368663594484,0.30760368663594484,0.30760368663594484,2022-06-01,1.809820552307698,3.34219452887538,-1.2836601539932122,54.15066468069072,108.30132936138143,1.344,0.948
